task_id,description,domains,sas_accuracy,sas_latency_sec,sas_total_tokens,sas_num_tool_calls,sas_outcome_match,sas_exact_side_effect_match,sas_error,cmas_accuracy,cmas_latency_sec,cmas_total_tokens,cmas_num_tool_calls,cmas_outcome_match,cmas_exact_side_effect_match,cmas_error,dmas_accuracy,dmas_latency_sec,dmas_total_tokens,dmas_num_tool_calls,dmas_outcome_match,dmas_exact_side_effect_match,dmas_error
WB-036,I've finished reviewing all of fatima's tasks. Can you move all the ones that are in review to completed?,"[""project_management""]",1.0,3.7888,6717,3,True,False,,0.0,6.4417,8690,4,False,False,,1.0,4.3303,6910,3,True,False,
WB-037,I need to reassign all of amir's in progress tasks to anaya. Can you do that?,"[""project_management""]",1.0,3.9658,6780,4,True,True,,1.0,5.6529,8895,5,True,True,,0.0,8.1375,16654,8,False,False,
WB-038,jinsoo is on vacation now so move all their unfinished tasks to the backlog.,"[""project_management""]",0.0,6.0383,13963,9,False,False,,0.0,7.114,9967,8,False,False,,0.0,5.0628,12960,8,False,False,
WB-039,can you take carlos's most urgent task and reassign it to luis?,"[""project_management""]",1.0,5.5486,11232,4,True,False,,1.0,5.6186,9986,4,True,False,,1.0,3.9154,9880,4,True,False,
WB-040,Quinn Brown has moved to lost status. Can you update that in the crm?,"[""customer_relationship_manager""]",1.0,2.596,5592,2,True,True,,1.0,3.5525,5860,2,True,True,,1.0,2.7272,5754,2,True,True,
WB-041,We no longer need to keep Shannon Wilson in the crm. Can you delete them?,"[""customer_relationship_manager""]",1.0,2.6036,5546,2,True,True,,1.0,5.2798,5806,2,True,True,,1.0,2.8481,5704,2,True,True,
WB-042,Kerry Moore is no longer a customer. Can you delete them from the crm?,"[""customer_relationship_manager""]",1.0,2.4219,5564,2,True,True,,1.0,3.3843,5831,2,True,True,,1.0,3.8791,5721,2,True,True,
WB-043,Reassign Rahul Martinez to Lena in the crm,"[""customer_relationship_manager""]",1.0,3.3701,7469,3,True,True,,1.0,5.9981,7750,3,True,True,,1.0,3.8957,7653,3,True,True,
WB-044,Reassign all of Raj's leads that are interested in services to Sofia in the crm.,"[""customer_relationship_manager""]",1.0,6.7213,17635,7,True,True,,1.0,6.958,10663,7,True,True,,1.0,5.5288,10549,7,True,True,
WB-045,Reassign all of Nadia's leads that are interested in consulting to Raj in the crm.,"[""customer_relationship_manager""]",1.0,5.039,7618,4,True,True,,1.0,4.8177,7921,4,True,True,,1.0,4.0293,7807,4,True,True,
WB-046,Reassign all of Raj's leads that are interested in training to Akira in the crm.,"[""customer_relationship_manager""]",1.0,4.6957,10063,6,True,True,,1.0,6.1815,10392,6,True,True,,1.0,4.988,10291,6,True,True,
WB-047,Sofia is taking over all of Lena's customers that are interested in services and are either qualified or in proposal. Can you reassign them in the crm?,"[""customer_relationship_manager""]",1.0,5.1657,10964,8,True,True,,1.0,8.2655,18983,8,True,True,,1.0,8.9539,24769,9,True,True,
WB-048,I need to move all of Raj's customers that are in the qualified stage and interested in services to lost. Can you make that change in the crm?,"[""customer_relationship_manager""]",0.0,3.781,7775,4,False,False,,0.0,4.4328,8101,4,False,False,,0.0,4.2336,7982,4,False,False,
WB-049,Move all customers that haven't responded to a proposal for the consulting product in 5 weeks to lost in the crm,"[""customer_relationship_manager""]",0.0,5.4988,12567,5,False,False,,1.0,1.774,247,0,True,True,,1.0,2.3421,3749,1,True,True,
