task_id,description,oracle_architecture,estimated_sequential_depth,parallelization_factor,estimated_tool_count,num_subgoals,entity_count,constraint_tightness,open_endedness,aggregation_required,expected_retrieval_fanout,domain_span,expected_context_expansion,final_synthesis_complexity,cross_branch_dependency,communication_load_estimate
WB-020,Please plot for me the distribution of total visits and average session duration between November 15 and November 24,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-021,Please plot for me the distribution of total visits and average session duration between November 24 and November 28,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-022,"was total visits more than 3 at any time since October 6? If so, please plot it as a line chart",Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-023,Can you make a line chart of total visits since the last 4 weeks if it was more than 10 at any time in the last 4 weeks?,Centralized MAS,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-024,"Was average session duration less than 2 at any time in the last 2 weeks? If so, please plot it as a line chart",Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-025,"If average session duration is more than 3% lower than October 4, make a line plot of it since then",Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-026,"Is total visits more than 2% lower than it was on Saturday? If so, please plot it as a line chart since then",Decentralized MAS,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-027,"Was total visits on monday more than 5% higher than it was the previous monday? If so, please plot it as a line chart",Centralized MAS,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-028,"If engaged users on sunday was more than 2% lower than it was the previous sunday, make a line plot of it over that period.",Centralized MAS,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-029,"if engaged users grew by more than total visits since Tuesday, make a line plot of both since then",Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-030,Move all of kofi's tasks that are in progress to in review,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-031,I need to add a new task to the Design backlog called Develop prototype for data export and assign it to fatima. It's due on December 6. Can you do that?,Decentralized MAS,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-032,Add a new task to the Front end backlog called Integrate Twilio SMS API with frontend and assign it to santiago. It's due on December 7.,Decentralized MAS,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-033,Add a new task to the Front end backlog called Fix bug in user authentication module and assign it to yuki. It's due on December 6.,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-034,can you move all of aisha's overdue tasks in the backlog to in progress?,Decentralized MAS,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-035,fatima has a bunch of overdue tasks in the backlog. Can you move them to in progress?,Decentralized MAS,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-036,I've finished reviewing all of fatima's tasks. Can you move all the ones that are in review to completed?,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-037,I need to reassign all of amir's in progress tasks to anaya. Can you do that?,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-038,jinsoo is on vacation now so move all their unfinished tasks to the backlog.,Decentralized MAS,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-039,can you take carlos's most urgent task and reassign it to luis?,Decentralized MAS,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-040,Quinn Brown has moved to lost status. Can you update that in the crm?,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-041,We no longer need to keep Shannon Wilson in the crm. Can you delete them?,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-042,Kerry Moore is no longer a customer. Can you delete them from the crm?,Single-Agent System,3,0.3,4,2,2,3,2,False,2,2,2,2,2,2
WB-043,Reassign Rahul Martinez to Lena in the crm,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-044,Reassign all of Raj's leads that are interested in services to Sofia in the crm.,Decentralized MAS,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-045,Reassign all of Nadia's leads that are interested in consulting to Raj in the crm.,Decentralized MAS,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-046,Reassign all of Raj's leads that are interested in training to Akira in the crm.,Single-Agent System,3,0.3,4,2,1,3,2,False,2,1,2,2,2,2
WB-047,Sofia is taking over all of Lena's customers that are interested in services and are either qualified or in proposal. Can you reassign them in the crm?,Single-Agent System,3,0.3,4,2,2,3,2,False,2,2,2,2,2,2
WB-048,I need to move all of Raj's customers that are in the qualified stage and interested in services to lost. Can you make that change in the crm?,Single-Agent System,3,0.3,4,2,2,3,2,False,2,2,2,2,2,2
WB-049,Move all customers that haven't responded to a proposal for the consulting product in 5 weeks to lost in the crm,Centralized MAS,3,0.3,4,2,2,3,2,False,2,2,2,2,2,2
