task_id,description,oracle_architecture,oracle_accuracy,oracle_latency_sec,oracle_total_tokens,router_prediction,perfect_routing,accuracy_regret,latency_regret_sec,token_regret
qa_3_000001,"How did the corporate governance practices of CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP in 2020 address potential risks related to executive roles and board oversight, and what implications might this have for their strategic direction and financial health?",Single-Agent System,0.0,0.0001,0,Single-Agent System,True,0.0,0.0,0
qa_3_000002,"How did the corporate governance structure and leadership experience at CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP in 2020 relate to their respective financial performance, particularly in terms of asset management and liabilities?",Single-Agent System,0.0,0.0001,0,Single-Agent System,True,0.0,0.0,0
qa_3_000003,"What insights can be drawn from the 2020 corporate governance disclosures of CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP regarding their impact on financial risks, such as asset fluctuations and revenue declines?",Single-Agent System,0.0,0.0001,0,Single-Agent System,True,0.0,0.0,0
qa_3_000004,"In 2020, how did the types and severity of regulatory risks disclosed by CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP differ, and what were their respective management approaches?",Single-Agent System,0.0,0.0001,0,Single-Agent System,True,0.0,0.0,0
qa_3_000005,"Compare the financial risks, including indebtedness and financing needs, for CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP in 2020, and analyze their implications for risk severity and mitigation strategies.",Single-Agent System,0.0,0.0001,0,Single-Agent System,True,0.0,0.0,0
qa_3_000006,"How did the litigation and operational risks disclosed by CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP in 2020 differ in terms of type, potential impact, and the companies' approaches to risk management?",Single-Agent System,0.0,0.0001,0,Single-Agent System,True,0.0,0.0,0
qa_3_000007,"How did the business strategies of CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP in 2020 relate to their primary risk exposures, particularly regarding revenue generation and regulatory challenges?",Single-Agent System,0.0,0.0003,0,Single-Agent System,True,0.0,0.0,0
qa_3_000008,"In 2020, how did the financial stability and funding strategies of CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP influence their risk management approaches, particularly in terms of indebtedness and capital needs?",Single-Agent System,0.0,0.0002,0,Single-Agent System,True,0.0,0.0,0
qa_3_000009,"How did the operational and environmental strategies of CADIZ_INC and HOUSTON_AMERICAN_ENERGY_CORP in 2020 contribute to their specific risk factors, such as regulatory compliance and resource management?",Single-Agent System,0.0,0.0002,0,Single-Agent System,True,0.0,0.0,0
qa_2_000000,How did AGILYSYS INC's strategic direction and business model evolve from its origins to its focus in 2019 and 2020?,Single-Agent System,1.0,0.0002,0,Single-Agent System,True,0.0,0.0,0
qa_2_000001,What were the major strategic initiatives and decisions undertaken by AGILYSYS INC between 2019 and 2020 to support its hospitality-focused strategy?,Single-Agent System,0.0,0.0001,0,Single-Agent System,True,0.0,0.0,0
qa_2_000002,How did AGILYSYS INC's total revenue and its composition change from fiscal 2019 to fiscal 2020?,Single-Agent System,0.0,0.0001,0,Single-Agent System,True,0.0,0.0,0
qa_2_000003,"How did the significance of recurring revenue streams, specifically Support, maintenance and subscription services, evolve for AGILYSYS INC from 2019 to 2020 in terms of financial strategy?",Single-Agent System,0.0,0.0002,0,Single-Agent System,True,0.0,0.0,0
qa_2_000004,How did AGILYSYS INC's core Point-of-Sale (POS) and Property Management System (PMS) product offerings evolve from the descriptions in 2019 to those in 2020?,Single-Agent System,0.0,0.0001,0,Single-Agent System,True,0.0,0.0,0
qa_2_000005,How did the branding and composition of AGILYSYS INC's ecosystem of complementary applications change between 2019 and 2020?,Single-Agent System,0.0,0.0001,0,Single-Agent System,True,0.0,0.0,0
qa_2_000006,"How did AGILYSYS INC's global employee count and geographic distribution change from March 31, 2020, to March 31, 2021?",Single-Agent System,0.0,0.0001,0,Single-Agent System,True,0.0,0.0,0
qa_2_000007,"What operational efficiency measures were highlighted in AGILYSYS INC's history, and how did operational structure adapt to the COVID-19 pandemic as of 2020?",Single-Agent System,0.5,0.0001,0,Single-Agent System,True,0.0,0.0,0
qa_2_000008,How did AGILYSYS INC's estimated total addressable market and its description of key competitors evolve from 2019 to 2020?,Single-Agent System,0.0,0.0001,0,Single-Agent System,True,0.0,0.0,0
qa_2_000009,How did AGILYSYS INC's customer base characteristics and representative clients change from the 2019 to the 2020 description?,Single-Agent System,0.0,0.0001,0,Single-Agent System,True,0.0,0.0,0
