task_id,description,oracle_architecture,oracle_accuracy,oracle_latency_sec,oracle_total_tokens,router_prediction,perfect_routing,accuracy_regret,latency_regret_sec,token_regret
WB-031,I need to add a new task to the Design backlog called Develop prototype for data export and assign it to fatima. It's due on December 6. Can you do that?,Decentralized MAS,1.0,3.4,5195,Single-Agent System,False,0.0,0.0,1629
WB-032,Add a new task to the Front end backlog called Integrate Twilio SMS API with frontend and assign it to santiago. It's due on December 7.,Decentralized MAS,1.0,3.4495,5213,Single-Agent System,False,0.0,0.0,1601
WB-033,Add a new task to the Front end backlog called Fix bug in user authentication module and assign it to yuki. It's due on December 6.,Single-Agent System,1.0,3.2646,6803,Single-Agent System,True,0.0,0.0,0
WB-034,can you move all of aisha's overdue tasks in the backlog to in progress?,Decentralized MAS,0.0,6.8529,17565,Single-Agent System,False,0.0,3.67,10119
WB-035,fatima has a bunch of overdue tasks in the backlog. Can you move them to in progress?,Decentralized MAS,1.0,3.9681,5145,Single-Agent System,False,1.0,1.6,3843
WB-036,I've finished reviewing all of fatima's tasks. Can you move all the ones that are in review to completed?,Single-Agent System,1.0,3.7888,6717,Single-Agent System,True,0.0,0.0,0
WB-037,I need to reassign all of amir's in progress tasks to anaya. Can you do that?,Single-Agent System,1.0,3.9658,6780,Single-Agent System,True,0.0,0.0,0
WB-038,jinsoo is on vacation now so move all their unfinished tasks to the backlog.,Decentralized MAS,0.0,5.0628,12960,Single-Agent System,False,0.0,0.98,1003
WB-039,can you take carlos's most urgent task and reassign it to luis?,Decentralized MAS,1.0,3.9154,9880,Single-Agent System,False,0.0,1.63,1352
WB-040,Quinn Brown has moved to lost status. Can you update that in the crm?,Single-Agent System,1.0,2.596,5592,Single-Agent System,True,0.0,0.0,0
WB-041,We no longer need to keep Shannon Wilson in the crm. Can you delete them?,Single-Agent System,1.0,2.6036,5546,Single-Agent System,True,0.0,0.0,0
WB-042,Kerry Moore is no longer a customer. Can you delete them from the crm?,Single-Agent System,1.0,2.4219,5564,Single-Agent System,True,0.0,0.0,0
WB-043,Reassign Rahul Martinez to Lena in the crm,Single-Agent System,1.0,3.3701,7469,Single-Agent System,True,0.0,0.0,0
WB-044,Reassign all of Raj's leads that are interested in services to Sofia in the crm.,Decentralized MAS,1.0,5.5288,10549,Single-Agent System,False,0.0,1.19,7086
WB-045,Reassign all of Nadia's leads that are interested in consulting to Raj in the crm.,Decentralized MAS,1.0,4.0293,7807,Single-Agent System,False,0.0,1.01,0
WB-046,Reassign all of Raj's leads that are interested in training to Akira in the crm.,Single-Agent System,1.0,4.6957,10063,Single-Agent System,True,0.0,0.0,0
WB-047,Sofia is taking over all of Lena's customers that are interested in services and are either qualified or in proposal. Can you reassign them in the crm?,Single-Agent System,1.0,5.1657,10964,Single-Agent System,True,0.0,0.0,0
WB-048,I need to move all of Raj's customers that are in the qualified stage and interested in services to lost. Can you make that change in the crm?,Single-Agent System,0.0,3.781,7775,Single-Agent System,True,0.0,0.0,0
WB-049,Move all customers that haven't responded to a proposal for the consulting product in 5 weeks to lost in the crm,Centralized MAS,1.0,1.774,247,Single-Agent System,False,1.0,3.72,12320
